CodDis	NomDis
312	VILLA EL SALVADOR
313	QUILMANA
314	SAN VICENTE DE CAÑETE
315	ANTA
316	YANATILE
317	SANTO TOMAS
318	OLLANTAYTAMBO
319	PALLASCA
320	LOS BAÑOS DEL INCA
321	VICE
322	CASA GRANDE
323	QUILAHUANI
324	TORATA
325	PANAO
326	SALAVERRY
327	PEDRO GALVEZ
328	PULLO
329	SARTIMBAMBA
330	AHUAC
331	CHINCHA BAJA
332	LUNAHUANA
333	LAS PIEDRAS
334	SANTA LUCIA
335	PAUCARTAMBO
336	CHIQUIAN
337	SAN JERONIMO DE TUNAN
338	ANDARAY
339	HUANZA
340	TICAPAMPA
341	YANQUE
342	HUANCAPI
343	LONYA GRANDE
344	COALAQUE
345	SINGA
346	SANTO DOMINGO DE LA CAPILLA
347	ATAURA
348	IZCUCHACA
349	SAN PEDRO DE PILLAO
350	COTAPARACO
351	CONAYCA
352	HUACACHI
353	SAN ANTONIO DE ANTAPARCO
354	CHARAT
355	TANTAMAYO
356	PUÑOS
357	CAMPANILLA
358	JACAS CHICO
359	LINCHA
360	PUSI
361	INAHUAYA
362	QUEQUEÑA
363	MATALAQUE
364	HEROES ALBARRACIN
365	LURIGANCHO
366	PUEBLO LIBRE
367	HUANCAYO
368	REQUE
369	PAUSA
370	LLOCLLAPAMPA
371	PUTUMAYO
372	MALA
373	AMOTAPE
374	LOS MOROCHUCOS
375	YUYAPICHIS
376	CHOROPAMPA
377	ULCUMAYO
378	NAMBALLE
379	SURCUBAMBA
380	ANTABAMBA
381	IRAZOLA
382	CHUQUIBAMBA
383	ORCOTUNA
384	SANTA ANA DE TUSI
385	CHILCAYMARCA
386	PACA
387	ONDORES
388	SONDORILLO
389	MARCAS
390	TICRAPO
391	LA TINGUIÑA
392	LARAMATE
393	TOCMOCHE
394	SANGARARA
395	SAN JUAN DEL ORO
396	ALFONSO UGARTE
397	MARCO
398	ALTO TAPICHE
399	CCORCA
400	POCSI
401	TAURIJA
402	SANAGORAN
403	HUARIBAMBA
404	CAIRANI
405	LA LIBERTAD DE PALLAN
406	GORGOR
407	COCHORCO
408	JIVIA
409	AGUA BLANCA
410	HUAYLLACAYAN
411	COLTA
412	MASIN
413	CUÑUMBUQUI
414	CORCULLA
415	CONDURIRI
416	SAN JUAN DE LOPECANCHA
417	ILAVE
418	OCOÑA
419	MAGDALENA DEL MAR
420	HUAYTARA
421	LA MOLINA
422	SAN SEBASTIAN
423	INAMBARI
424	CACHACHI
425	ZARUMILLA
426	AYAVIRI
427	PANGOA
428	PACANGA
429	TUMAN
430	SAN PEDRO DE CHUNAN
431	OTUZCO
432	CHACAS
433	PUCACACA
434	LA UNION
435	LARIA
436	OBAS
437	POCOLLAY
438	SURCO
439	SAPOSOA
440	HUANCASPATA
441	OCUVIRI
442	QUINUABAMBA
443	CASCA
444	CHUGUR
445	UMARI
446	SAN FERNANDO
447	SANTA BARBARA DE CARHUACAYAN
448	CHECRAS
449	SANTIAGO DE QUIRAHUARA
450	SAN FRANCISCO DE SANGAYAICO
451	HUAYLAS
452	CHIARA
453	EL ALGARROBAL
454	LABERINTO
455	LA JALCA
456	CHAGLLA
457	TINGO DE PONASA
458	VICCO
459	COSME
460	SANTIAGO DE LUCANAMARCA
461	SHAPAJA
462	MOLLEBAYA
463	TONGOD
464	SAN MIGUEL DE CHACCRAMPA
465	APARICIO POMARES
466	LARES
467	MARMOT
468	CAHUACHO
469	SONDOR
470	HUANOQUITE
471	SAN JUAN DE CUTERVO
472	CAPILLAS
473	CORONEL CASTAÑEDA
474	CHISQUILLA
475	CHILIQUIN
476	RAPAYAN
477	CAYARA
478	CARABAYLLO
479	CHALHUANCA
480	PUNO
481	SANTA ANITA
482	ANDAHUAYLAS
483	JUANJUI
484	URUBAMBA
485	MOLLENDO
486	TARAPOTO
487	PICOTA
488	OYON
489	PACARAOS
490	HUANCABAMBA
491	SAN ANTONIO DE CACHI
492	PAUCARBAMBA
493	ALTO LARAN
494	CAYARANI
495	PUNTA DE BOMBON
496	PINRA
497	PAROBAMBA
498	SAN BENITO
499	MANZANARES
500	CCATCA
501	PURUS
502	PAICO
503	PATAZ
504	CHIPURANA
505	CHAVIN DE PARIARCA
506	CODO DEL POZUZO
507	AYAVI
508	MICAELA BASTIDAS
509	IHUAYLLO
510	SANTO DOMINGO DE ANDA
511	RICRAN
512	HUAMBOS
513	ARENAL
514	CHURUBAMBA
515	MOHO
516	ROSA PANDURO
517	SAISA
518	JULCAMARCA
519	TUPAC AMARU
520	ROSASPATA
521	SANTILLANA
522	SALCAHUASI
523	PARATIA
524	CAMILACA
525	VIÑAC
526	HUAMBALPA
527	SAN JUAN DE SIGUAS
528	ORONCCOY
529	VITIS
530	CERRO COLORADO
531	TACNA
532	CHACHAPOYAS
533	SIMON BOLIVAR
534	MI PERU
535	SACHACA
536	UCHIZA
537	JESUS NAZARENO
538	AGUAS VERDES
539	ACRAQUIA
540	CAYLLOMA
541	SAMANCO
542	SAN NICOLAS
543	HUACHIS
544	SAN JOSE DE QUERO
545	CACATACHI
546	VILCAS HUAMAN
547	SAN MIGUEL DE EL FAIQUE
548	ACORA
549	MADRE DE DIOS
550	MARIANO NICOLAS VALCARCEL
551	SAN JACINTO
552	LAGUNAS
553	TAMBOBAMBA
554	CHAZUTA
555	MITO
556	LA BREA
557	LA YARADA LOS PALOS
558	LUCRE
559	ALONSO DE ALVARADO
560	PLATERIA
561	ENCAÑADA
562	CHIRIMOTO
563	CHUMPI
564	CUPI
565	CHINGALPO
566	TARACO
567	CALQUIS
568	CHIGUIRIP
569	MALVAS
570	MORONA
571	PICHIGUA
572	COSPAN
573	ALTO NANAY
574	CHALCOS
575	CANIS
576	CHETO
577	FITZCARRALD
578	CASCAPARA
579	TAPO
580	TURPAY
581	VENTANILLA
582	PERENE
583	CAJAMARQUILLA
584	AYACUCHO
585	LINCE
586	SANTA CRUZ DE COCACHACRA
587	HUARMEY
588	PACHACAMAC
589	TUCUME
590	OLMOS
591	MONZON
592	ANDAHUAYLILLAS
593	QUICHUAS
594	SAN JUAN DE JARPA
595	LOS ORGANOS
596	PARACAS
597	COMANDANTE NOEL
598	LANCONES
599	SUPE PUERTO
600	SAN MIGUEL DE MAYOCC
601	SORAS
602	CARUMAS
603	COPA
604	DANIEL ALOMIA ROBLES
605	CHAPARRA
606	SAN MATEO DE OTAO
607	COASA
608	ZEPITA
609	TURPO
610	POLOBAYA
611	TACABAMBA
612	GOYLLARISQUIZGA
613	CRUCERO
614	CHILETE
615	SANTO DOMINGO DE ACOBAMBA
616	RIPAN
617	OLLACHEA
618	HUACULLANI
619	SUCRE
620	CHIPAO
621	ACOS
622	LLUSCO
623	HUANCAS
624	CCARHUAYO
625	PONTO
626	TORO
627	MARIA
628	LLACLLIN
629	CONGALLA
630	LANGUI
631	COROSHA
632	QUIACA
633	TRITA
634	LARAOS
635	SAN FRANCISCO DE RAVACAYCO
636	EL ALTO
637	VILLA RICA
638	EL AGUSTINO
639	CHORRILLOS
640	RIMAC
641	ATE
642	CALLERIA
643	CHIVAY
644	CONCEPCION
645	TIABAYA
646	CATAC
647	CAMANA
648	LAMPA
649	AUCALLAMA
650	POMATA
651	PARURO
652	SAYAPULLO
653	LA ARENA
654	SANTA CRUZ DE CHUCA
655	CARMEN ALTO
656	SANTA ROSA DE SACCO
657	CHONGOS BAJO
658	TINCO
659	SARIN
660	NUEVE DE JULIO
661	ANDOAS
662	PACORA
663	ANCAHUASI
664	VICHAYAL
665	BALSAPUERTO
666	CANAYRE
667	SIHUAS
668	HEROINAS TOLEDO
669	PUNTA HERMOSA
670	CASTROVIRREYNA
671	LA CAPILLA
672	VIQUES
673	PROVIDENCIA
674	CAHUAC
675	HUANCARAYLLA
676	CHICHAS
677	TAHUANIA
678	SHUNTE
679	CHADIN
680	ROCCHACC
681	HUANIPACA
682	CALLAHUANCA
683	TUMAY HUARACA
684	ACOCHACA
685	MONTEVIDEO
686	SAN MIGUEL DE ACO
687	ACOPIA
688	CHACHAS
689	COLPAS
690	TRES UNIDOS
691	CATILLUC
692	COLCHA
693	COLCA
694	LUYA VIEJO
695	CHICLAYO
696	VILLA MARIA DEL TRIUNFO
697	SAN RAMON
698	HUAMBO
699	PUENTE PIEDRA
700	CASTILLA
701	CORONEL GREGORIO ALBARRACIN L.
702	SUYO
703	ALTO DE LA ALIANZA
704	NICOLAS DE PIEROLA
705	MOSOC LLACTA
706	CAÑARIS
707	SUBTANJALLA
708	JAZAN
709	ELIAS SOPLIN VARGAS
710	HONORIA
711	NUEVO PROGRESO
712	UPAHUACHO
713	HAQUIRA
714	ROSARIO
715	AQUIA
716	CANCHAQUE
717	SIVIA
718	CHURUJA
719	UNICACHI
720	HUAYNACOTAS
721	OCONGATE
722	HUACHAC
723	SANTA ROSA DE OCOPA
724	CARACOTO
725	YAVARI
726	SANTIAGO DE CHILCAS
727	LLAMELLIN
728	MOLINO
